,zip,Latitude,Longitude,Mapped Location,geometry,latlong,Date,Is Violation,Cluster Name,Facility Type,# Cases,Is Cluster
16663,37203.0,36.1535143,-86.78643699999998,"(36.1535143, -86.78643699999999)",POINT (-86.78643699999998 36.1535143),"[36.1535143, -86.78643699999998]",2020-04-11,1.0,0,0,0.0,0.0
16782,37203.0,36.1535143,-86.78643699999998,"(36.1535143, -86.78643699999999)",POINT (-86.78643699999998 36.1535143),"[36.1535143, -86.78643699999998]",2020-04-11,1.0,0,0,0.0,0.0
16880,37203.0,36.15310291618041,-86.7849552067109,"(36.15310291618041, -86.7849552067109)",POINT (-86.7849552067109 36.15310291618041),"[36.15310291618041, -86.7849552067109]",2020-04-02,1.0,0,0,0.0,0.0
17014,37203.0,36.145898200000005,-86.8125998,"(36.1458982, -86.8125998)",POINT (-86.8125998 36.1458982),"[36.145898200000005, -86.8125998]",2020-09-24,1.0,0,0,0.0,0.0
17069,37203.0,36.1535143,-86.78643699999998,"(36.1535143, -86.78643699999999)",POINT (-86.78643699999998 36.1535143),"[36.1535143, -86.78643699999998]",2020-04-11,1.0,0,0,0.0,0.0
17315,37203.0,36.13706639999999,-86.766424,"(36.13706639999999, -86.766424)",POINT (-86.766424 36.13706639999999),"[36.13706639999999, -86.766424]",2020-04-12,1.0,0,0,0.0,0.0
17538,37203.0,36.14904121160095,-86.81203099999998,"(36.149041211600945, -86.81203099999998)",POINT (-86.81203099999998 36.14904121160095),"[36.14904121160095, -86.81203099999998]",2020-04-12,1.0,0,0,0.0,0.0
17608,37203.0,36.1507454,-86.8012196,"(36.1507454, -86.8012196)",POINT (-86.8012196 36.1507454),"[36.1507454, -86.8012196]",2020-06-16,1.0,0,0,0.0,0.0
17676,37203.0,36.149849457187855,-86.77949332729969,"(36.14984945718785, -86.77949332729968)",POINT (-86.77949332729969 36.14984945718786),"[36.149849457187855, -86.77949332729969]",2020-04-01,1.0,0,0,0.0,0.0
17829,37203.0,36.15310291618041,-86.7849552067109,"(36.15310291618041, -86.7849552067109)",POINT (-86.7849552067109 36.15310291618041),"[36.15310291618041, -86.7849552067109]",2020-04-01,1.0,0,0,0.0,0.0
17978,37203.0,36.13169498779745,-86.77360967042995,"(36.13169498779745, -86.77360967042995)",POINT (-86.77360967042995 36.13169498779745),"[36.13169498779745, -86.77360967042995]",2020-04-01,1.0,0,0,0.0,0.0
17983,37203.0,36.14992,-86.79611,"(36.14992, -86.79611)",POINT (-86.79611 36.14992),"[36.14992, -86.79611]",2020-04-02,1.0,0,0,0.0,0.0
18079,37203.0,36.14985119856714,-86.79639129072365,"(36.14985119856714, -86.79639129072365)",POINT (-86.79639129072365 36.14985119856714),"[36.14985119856714, -86.79639129072365]",2020-04-01,1.0,0,0,0.0,0.0
18190,37203.0,36.148719187470405,-86.77207661679586,"(36.14871918747041, -86.77207661679586)",POINT (-86.77207661679586 36.14871918747041),"[36.148719187470405, -86.77207661679586]",2020-04-01,1.0,0,0,0.0,0.0
18521,37203.0,36.168437451840006,-86.79052995625617,"(36.168437451840006, -86.79052995625615)",POINT (-86.79052995625617 36.16843745184001),"[36.168437451840006, -86.79052995625617]",2020-04-01,1.0,0,0,0.0,0.0
18559,37203.0,36.15747229999999,-86.80310490000001,"(36.15747229999999, -86.8031049)",POINT (-86.80310490000001 36.15747229999999),"[36.15747229999999, -86.80310490000001]",2020-07-09,1.0,0,0,0.0,0.0
18595,37203.0,36.1530467,-86.7905272,"(36.1530467, -86.7905272)",POINT (-86.7905272 36.1530467),"[36.1530467, -86.7905272]",2020-08-04,1.0,0,0,0.0,0.0
19353,37203.0,36.16040970979386,-86.77825253714684,"(36.16040970979386, -86.77825253714684)",POINT (-86.77825253714684 36.16040970979386),"[36.16040970979386, -86.77825253714684]",2020-07-09,1.0,0,0,0.0,0.0
19355,37203.0,36.151428561601975,-86.80160989999997,"(36.151428561601975, -86.80160989999999)",POINT (-86.80160989999997 36.15142856160197),"[36.151428561601975, -86.80160989999997]",2020-06-11,1.0,0,0,0.0,0.0
19529,37203.0,36.15670726160421,-86.80628670674594,"(36.156707261604204, -86.80628670674592)",POINT (-86.80628670674594 36.15670726160421),"[36.15670726160421, -86.80628670674594]",2020-08-16,1.0,0,0,0.0,0.0
19581,37203.0,36.1459,-86.8126,"(36.1459, -86.8126)",POINT (-86.8126 36.1459),"[36.1459, -86.8126]",2020-06-11,1.0,0,0,0.0,0.0
19585,37203.0,36.14617,-86.81472,"(36.14617, -86.81472)",POINT (-86.81471999999999 36.14617),"[36.14617, -86.81472]",2020-04-02,1.0,0,0,0.0,0.0
19589,37203.0,36.15146176160198,-86.77219409325409,"(36.15146176160198, -86.77219409325409)",POINT (-86.77219409325409 36.15146176160198),"[36.15146176160198, -86.77219409325409]",2020-04-07,1.0,0,0,0.0,0.0
19600,37203.0,36.15542821160368,-86.79201459999996,"(36.15542821160368, -86.79201459999997)",POINT (-86.79201459999996 36.15542821160368),"[36.15542821160368, -86.79201459999996]",2020-06-26,1.0,0,0,0.0,0.0
19665,37203.0,36.14523,-86.7783,"(36.14523, -86.7783)",POINT (-86.7783 36.14523),"[36.14523, -86.7783]",2020-04-02,1.0,0,0,0.0,0.0
20252,37203.0,36.144511,-86.81237899999998,"(36.144511, -86.81237899999999)",POINT (-86.81237899999998 36.144511),"[36.144511, -86.81237899999998]",2020-06-17,1.0,0,0,0.0,0.0
20400,37203.0,36.14720750000001,-86.7806157,"(36.14720750000001, -86.7806157)",POINT (-86.7806157 36.14720750000001),"[36.14720750000001, -86.7806157]",2020-06-17,1.0,0,0,0.0,0.0
20738,37203.0,36.159114,-86.78283370000001,"(36.159114, -86.7828337)",POINT (-86.78283370000001 36.159114),"[36.159114, -86.78283370000001]",2020-04-12,1.0,0,0,0.0,0.0
21016,37203.0,36.158446168020134,-86.78273130089191,"(36.158446168020134, -86.78273130089192)",POINT (-86.78273130089191 36.15844616802013),"[36.158446168020134, -86.78273130089191]",2020-04-13,1.0,0,0,0.0,0.0
21299,37203.0,36.14125,-86.81648,"(36.14125, -86.81648)",POINT (-86.81648 36.14125),"[36.14125, -86.81648]",2020-04-02,1.0,0,0,0.0,0.0
21504,37203.0,36.1490396,-86.77227289999998,"(36.1490396, -86.77227289999999)",POINT (-86.77227289999998 36.1490396),"[36.1490396, -86.77227289999998]",2020-04-07,1.0,0,0,0.0,0.0
21506,37203.0,36.14904900000001,-86.7722625,"(36.14904900000001, -86.7722625)",POINT (-86.7722625 36.14904900000001),"[36.14904900000001, -86.7722625]",2020-04-02,1.0,0,0,0.0,0.0
21518,37203.0,36.159114,-86.78283370000001,"(36.159114, -86.7828337)",POINT (-86.78283370000001 36.159114),"[36.159114, -86.78283370000001]",2020-04-12,1.0,0,0,0.0,0.0
21726,37203.0,36.15147,-86.77960999999999,"(36.15147, -86.77961)",POINT (-86.77960999999999 36.15147),"[36.15147, -86.77960999999999]",2020-04-17,1.0,0,0,0.0,0.0
21746,37203.0,36.1530467,-86.7905272,"(36.1530467, -86.7905272)",POINT (-86.7905272 36.1530467),"[36.1530467, -86.7905272]",2020-08-04,1.0,0,0,0.0,0.0
21819,37203.0,36.15161477784565,-86.77303392090148,"(36.15161477784565, -86.77303392090148)",POINT (-86.77303392090148 36.15161477784565),"[36.15161477784565, -86.77303392090148]",2020-04-07,1.0,0,0,0.0,0.0
21917,37203.0,36.15007840000001,-86.79604140000001,"(36.15007840000001, -86.7960414)",POINT (-86.79604140000001 36.15007840000001),"[36.15007840000001, -86.79604140000001]",2020-07-24,1.0,0,0,0.0,0.0
22266,37203.0,36.16533521160789,-86.78969299325406,"(36.16533521160789, -86.78969299325408)",POINT (-86.78969299325406 36.16533521160789),"[36.16533521160789, -86.78969299325406]",2020-04-17,1.0,0,0,0.0,0.0
22771,37203.0,36.15925116160528,-86.79324305,"(36.15925116160528, -86.79324305)",POINT (-86.79324305 36.15925116160528),"[36.15925116160528, -86.79324305]",2020-04-05,1.0,0,0,0.0,0.0
22773,37203.0,36.15763693646472,-86.79228365918397,"(36.15763693646472, -86.79228365918395)",POINT (-86.79228365918397 36.15763693646472),"[36.15763693646472, -86.79228365918397]",2020-04-05,1.0,0,0,0.0,0.0
23006,37203.0,36.15525011160359,-86.80341529325409,"(36.155250111603586, -86.8034152932541)",POINT (-86.80341529325409 36.15525011160359),"[36.15525011160359, -86.80341529325409]",2020-04-06,1.0,0,0,0.0,0.0
23099,37203.0,36.15831,-86.79229000000001,"(36.15831, -86.79229)",POINT (-86.79229000000001 36.15831),"[36.15831, -86.79229000000001]",2020-04-03,1.0,0,0,0.0,0.0
